No	標準的な表記	読み	語彙の難易度	品詞1	品詞2(詳細)	語種
8863	心理的	シンリテキ	4.中級後半	名詞	名詞-普通名詞-一般 and 接尾辞-形状詞的	漢語
8865	侵略	シンリャク	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
8866	診療	シンリョウ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
8867	新緑	シンリョク	5.上級前半	名詞	名詞-普通名詞-一般	漢語
8869	親類	シンルイ	3.中級前半	名詞	名詞-普通名詞-一般	漢語
8870	人類	ジンルイ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
8871	人類学	ジンルイガク	4.中級後半	名詞	名詞-普通名詞-一般 and 接尾辞-名詞的-一般	漢語
8872	心霊	シンレイ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
8873	心霊現象	シンレイゲンショウ	5.上級前半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	漢語
8874	進路	シンロ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
8875	新郎	シンロウ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
8876	進路指導	シンロシドウ	4.中級後半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-サ変可能	漢語
8877	神話	シンワ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
8879	酢	ス	4.中級後半	名詞	名詞-普通名詞-一般	和語
8878	巣	ス	5.上級前半	名詞	名詞-普通名詞-一般	和語
8880	素	ス	5.上級前半	接頭辞	接頭辞	漢語
8881	図	ズ	3.中級前半	名詞	名詞-普通名詞-一般	漢語
8882	素足	スアシ	5.上級前半	名詞	名詞-普通名詞-一般	混種語
8883	図案	ズアン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
8885	水	スイ	2.初級後半	名詞	名詞-普通名詞-一般	漢語
8884	水	スイ	3.中級前半	名詞	接尾辞-名詞的-一般	漢語
8886	吸い上げる	スイアゲル	5.上級前半	動詞2類	動詞-一般	和語
8887	水圧	スイアツ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
8888	水位	スイイ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
8889	推移	スイイ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
8890	水泳	スイエイ	2.初級後半	名詞	名詞-普通名詞-サ変可能	漢語
8891	水温	スイオン	4.中級後半	名詞	名詞-普通名詞-一般	漢語
8893	すいか	スイカ	2.初級後半	名詞	名詞-普通名詞-一般	漢語
8894	水害	スイガイ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
8895	吸い殻	スイガラ	5.上級前半	名詞	名詞-普通名詞-一般	和語
8896	水銀	スイギン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
8897	水源	スイゲン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
8898	遂行	スイコウ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
8899	吸い込む	スイコム	4.中級後半	動詞1類	動詞-一般	和語
8900	推察	スイサツ	6.上級後半	名詞	名詞-普通名詞-サ変可能	漢語
8901	水産	スイサン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
8902	水産物	スイサンブツ	5.上級前半	名詞	名詞-普通名詞-一般 and 接尾辞-名詞的-一般	漢語
8903	炊事	スイジ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
8904	随時	ズイジ	5.上級前半	副詞	名詞-普通名詞-副詞可能	漢語
8905	水質	スイシツ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
8906	衰弱	スイジャク	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
8907	水準	スイジュン	4.中級後半	名詞	名詞-普通名詞-一般	漢語
8908	水上	スイジョウ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
8909	水蒸気	スイジョウキ	4.中級後半	名詞	接尾辞-名詞的-一般 and 名詞-普通名詞-一般	漢語
8910	推進	スイシン	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
8912	水星	スイセイ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
8913	水性	スイセイ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
8914	推薦	スイセン	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
8915	水洗	スイセン	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
8916	水素	スイソ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
8917	水槽	スイソウ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
8918	吹奏	スイソウ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
8920	吹奏楽	スイソウガク	5.上級前半	名詞	名詞-普通名詞-サ変可能 and 接尾辞-名詞的-一般	漢語
8921	推測	スイソク	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
8922	水族館	スイゾクカン	3.中級前半	名詞	名詞-普通名詞-一般 and 接尾辞-名詞的-一般	漢語
8923	衰退	スイタイ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
8924	吸い出す	スイダス	5.上級前半	動詞1類	動詞-一般	和語
8925	水中	スイチュウ	3.中級前半	名詞	名詞-普通名詞-一般	漢語
8926	垂直	スイチョク	4.中級後半	名詞	名詞-普通名詞-形状詞可能	漢語
8927	スイッチ	スイッチ	3.中級前半	名詞	名詞-普通名詞-サ変可能	外来語
8928	推定	スイテイ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
8929	水滴	スイテキ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
8930	水田	スイデン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
8931	水筒	スイトウ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
8932	水道	スイドウ	3.中級前半	名詞	名詞-普通名詞-一般	漢語
8933	吸い取る	スイトル	5.上級前半	動詞1類	動詞-一般	和語
8934	水爆	スイバク	6.上級後半	名詞	名詞-普通名詞-一般	漢語
8935	炊飯器	スイハンキ	4.中級後半	名詞	名詞-普通名詞-一般 and 接尾辞-名詞的-一般	漢語
8936	随筆	ズイヒツ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
8937	水分	スイブン	4.中級後半	名詞	名詞-普通名詞-一般	漢語
8938	随分	ズイブン	4.中級後半	ナ形容詞	副詞	漢語
8939	随分	ズイブン	5.上級前半	ナ形容詞	形状詞-一般	漢語
8940	水平	スイヘイ	4.中級後半	名詞	名詞-普通名詞-形状詞可能	漢語
8941	水没	スイボツ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
8942	睡眠	スイミン	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
8943	水面	スイメン	4.中級後半	名詞	名詞-普通名詞-一般	漢語
8944	水曜	スイヨウ	1.初級前半	名詞	名詞-普通名詞-副詞可能	漢語
8945	水曜日	スイヨウビ	1.初級前半	名詞	名詞-普通名詞-副詞可能 and 名詞-普通名詞-副詞可能	混種語
8946	推理	スイリ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
8947	推理小説	スイリショウセツ	4.中級後半	名詞	名詞-普通名詞-サ変可能 and 名詞-普通名詞-一般	漢語
8948	水流	スイリュウ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
8949	水量	スイリョウ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
8950	水力	スイリョク	4.中級後半	名詞	名詞-普通名詞-一般	漢語
8951	水力発電	スイリョクハツデン	4.中級後半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-サ変可能	漢語
8952	水路	スイロ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
8953	推論	スイロン	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
8954	スイング	スイング	5.上級前半	名詞	名詞-普通名詞-サ変可能	外来語
8955	吸う	スウ	2.初級後半	動詞1類	動詞-一般	和語
8956	数	スウ	3.中級前半	接尾辞	名詞-数詞	漢語
8957	数	スウ	4.中級後半	接尾辞	名詞-普通名詞-一般	漢語
8959	数学	スウガク	3.中級前半	名詞	名詞-普通名詞-一般	漢語
8960	数個	スウコ	3.中級前半	名詞	名詞-数詞 and 接尾辞-名詞的-助数詞	漢語
8961	崇高	スウコウ	5.上級前半	ナ形容詞	名詞-普通名詞-形状詞可能	漢語
8962	数字	スウジ	3.中級前半	名詞	名詞-普通名詞-一般	漢語
8963	数式	スウシキ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
8964	数日	スウジツ	3.中級前半	名詞	名詞-数詞 and 接尾辞-名詞的-一般	漢語
20056	ずうずうしい	ズウズウシイ	5.上級前半	イ形容詞	形容詞-一般	和語
8965	数値	スウチ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
8966	スーツ	スーツ	2.初級後半	名詞	名詞-普通名詞-一般	外来語
8967	スーツケース	スーツケース	2.初級後半	名詞	名詞-普通名詞-一般	外来語
8968	数人	スウニン	3.中級前半	名詞	名詞-数詞 and 接尾辞-名詞的-助数詞	漢語
20057	スーパー	スーパー	4.中級後半	名詞	名詞-普通名詞-一般	外来語
8969	スーパーマーケット	スーパーマーケット	2.初級後半	名詞	名詞-普通名詞-一般	外来語
8970	スーパーマン	スーパーマン	3.中級前半	名詞	名詞-普通名詞-一般	外来語
8971	崇拝	スウハイ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
8972	スープ	スープ	2.初級後半	名詞	名詞-普通名詞-一般	外来語
8973	ズーム	ズーム	4.中級後半	名詞	名詞-普通名詞-サ変可能	外来語
8974	数量	スウリョウ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
8975	末	スエ	4.中級後半	名詞	名詞-普通名詞-副詞可能	和語
8976	据え置き	スエオキ	6.上級後半	名詞	名詞-普通名詞-一般	和語
8977	末っ子	スエッコ	3.中級前半	名詞	名詞-普通名詞-一般	和語
8978	据える	スエル	5.上級前半	動詞2類	動詞-一般	和語
8979	スカ	スカ	6.上級後半	名詞	名詞-普通名詞-一般	外来語
8980	スカート	スカート	2.初級後半	名詞	名詞-普通名詞-一般	外来語
8981	スカーフ	スカーフ	3.中級前半	名詞	名詞-普通名詞-一般	外来語
8982	スカイ	スカイ	3.中級前半	名詞	名詞-普通名詞-一般	外来語
8983	図解	ズカイ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
8984	スカイダイビング	スカイダイビング	4.中級後半	名詞	名詞-普通名詞-一般	外来語
8985	スカイライン	スカイライン	5.上級前半	名詞	名詞-普通名詞-一般	外来語
8986	スカウト	スカウト	5.上級前半	名詞	名詞-普通名詞-サ変可能	外来語
8987	素顔	スガオ	5.上級前半	名詞	名詞-普通名詞-一般	混種語
8988	透かし	スカシ	5.上級前半	名詞	名詞-普通名詞-一般	和語
8989	すかすか	スカスカ	5.上級前半	ナ形容詞	形状詞-一般	和語
8990	すがすがしい	スガスガシイ	5.上級前半	イ形容詞	形容詞-一般	和語
8991	姿	スガタ	4.中級後半	名詞	名詞-普通名詞-一般	和語
8992	すかっと	スカット	4.中級後半	副詞	副詞	和語
8993	図柄	ズガラ	5.上級前半	名詞	名詞-普通名詞-一般	混種語
8994	すがる	スガル	6.上級後半	動詞1類	動詞-一般	和語
8995	図鑑	ズカン	4.中級後半	名詞	名詞-普通名詞-一般	漢語
8996	好き	スキ	1.初級前半	名詞	形状詞-一般	和語
8997	好き	スキ	1.初級前半	名詞	名詞-普通名詞-形状詞可能	和語
8998	すき	スキ	4.中級後半	名詞	名詞-普通名詞-一般	和語
9001	過ぎ	スギ	3.中級前半	接尾辞	接尾辞-形状詞的	和語
9000	杉	スギ	4.中級後半	名詞	名詞-普通名詞-一般	和語
9002	スキー	スキー	2.初級後半	名詞	名詞-普通名詞-一般	外来語
9003	スキーヤー	スキーヤー	3.中級前半	名詞	名詞-普通名詞-一般	外来語
9004	好き勝手	スキカッテ	5.上級前半	ナ形容詞	形状詞-一般	和語
9005	好き嫌い	スキキライ	3.中級前半	名詞	名詞-普通名詞-一般	和語
9006	好き好む	スキコノム	6.上級後半	動詞1類	動詞-一般	和語
9007	過ぎ去る	スギサル	4.中級後半	動詞1類	動詞-一般	和語
9008	好き好き	スキズキ	5.上級前半	名詞	名詞-普通名詞-一般	和語
9009	ずきずき	ズキズキ	4.中級後半	動詞3類	副詞	和語
9010	スキップ	スキップ	4.中級後半	名詞	名詞-普通名詞-サ変可能	外来語
9011	透き通る	スキトオル	4.中級後半	動詞1類	動詞-一般	和語
9012	すき焼き	スキヤキ	2.初級後半	名詞	名詞-普通名詞-一般	和語
9013	スキャンダル	スキャンダル	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9014	過ぎる	スギル	3.中級前半	動詞2類	動詞-非自立可能	和語
9015	スキン	スキン	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9016	頭きん	ズキン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
9017	すく	スク	2.初級後半	動詞1類	動詞-一般	和語
9019	好く	スク	4.中級後半	動詞1類	動詞-一般	和語
9020	すぐ	スグ	2.初級後半	副詞	副詞	和語
9021	ずく	ズク	6.上級後半	接尾辞	接尾辞-名詞的-一般	和語
9022	救い	スクイ	4.中級後半	名詞	名詞-普通名詞-一般	和語
9024	救う	スクウ	4.中級後半	動詞1類	動詞-一般	和語
9023	すくう	スクウ	5.上級前半	動詞1類	動詞-一般	和語
9025	スクーター	スクーター	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9026	スクープ	スクープ	4.中級後半	名詞	名詞-普通名詞-サ変可能	外来語
9027	スクール	スクール	3.中級前半	接尾辞	名詞-普通名詞-一般	外来語
9028	すくすく	スクスク	5.上級前半	副詞	副詞	和語
9029	少ない	スクナイ	1.初級前半	イ形容詞	形容詞-一般	和語
9030	少なめ	スクナメ	3.中級前半	ナ形容詞	形状詞-一般	和語
9031	すぐに	スグニ	2.初級後半	副詞	副詞 and 助詞-格助詞	和語
9032	スクラップブック	スクラップブック	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9033	スクリーン	スクリーン	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9034	スクリュー	スクリュー	5.上級前半	名詞	名詞-普通名詞-一般	外来語
9035	優れる	スグレル	4.中級後半	動詞2類	動詞-一般	和語
9036	図形	ズケイ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
9037	スケート	スケート	2.初級後半	名詞	名詞-普通名詞-一般	外来語
9040	ずけずけ	ズケズケ	5.上級前半	副詞	副詞	和語
9041	スケッチ	スケッチ	4.中級後半	名詞	名詞-普通名詞-サ変可能	外来語
9042	スケッチブック	スケッチブック	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9043	透ける	スケル	5.上級前半	動詞2類	動詞-一般	和語
9044	スコア	スコア	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9045	すごい	スゴイ	3.中級前半	イ形容詞	形容詞-一般	和語
9046	少し	スコシ	2.初級後半	副詞	副詞	和語
9047	少しも	スコシモ	3.中級前半	副詞	副詞 and 助詞-係助詞	和語
9048	過ごす	スゴス	3.中級前半	動詞1類	動詞-一般	和語
9049	すごすご	スゴスゴ	6.上級後半	副詞	副詞	和語
9051	頗る	スコブル	6.上級後半	副詞	副詞	和語
9052	健やか	スコヤカ	5.上級前半	ナ形容詞	形状詞-一般	和語
9053	すさまじい	スサマジイ	6.上級後半	イ形容詞	形容詞-一般	和語
9054	ずさん	ズサン	5.上級前半	ナ形容詞	助動詞 and 接尾辞-名詞的-一般	漢語
9055	すし	スシ	1.初級前半	名詞	名詞-普通名詞-一般	和語
9056	筋	スジ	5.上級前半	名詞	名詞-普通名詞-一般	和語
9057	図式	ズシキ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
9058	筋肉	スジニク	5.上級前半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	混種語
9059	筋道	スジミチ	5.上級前半	名詞	名詞-普通名詞-一般	和語
9060	頭上	ズジョウ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
9061	鈴	スズ	4.中級後半	名詞	名詞-普通名詞-一般	和語
9062	すすき	ススキ	5.上級前半	名詞	名詞-普通名詞-一般	和語
9063	すすぎ	ススギ	5.上級前半	名詞	名詞-普通名詞-一般	和語
9065	すすぐ	ススグ	5.上級前半	動詞1類	動詞-一般	和語
9066	涼しい	スズシイ	2.初級後半	イ形容詞	形容詞-一般	和語
9067	進む	ススム	2.初級後半	動詞1類	動詞-一般	和語
9068	涼む	スズム	4.中級後半	動詞1類	動詞-一般	和語
9069	鈴虫	スズムシ	5.上級前半	名詞	名詞-普通名詞-一般	和語
9070	勧め	ススメ	4.中級後半	名詞	名詞-普通名詞-一般	和語
9071	すずめ	スズメ	3.中級前半	名詞	名詞-普通名詞-一般	和語
9072	進める	ススメル	3.中級前半	動詞2類	動詞-一般	和語
9073	勧める	ススメル	3.中級前半	動詞2類	動詞-一般	和語
9074	硯	スズリ	6.上級後半	名詞	名詞-普通名詞-一般	和語
9076	すする	ススル	6.上級後半	動詞1類	動詞-一般	和語
9077	すそ	スソ	5.上級前半	名詞	名詞-普通名詞-一般	和語
9078	スター	スター	3.中級前半	名詞	名詞-普通名詞-一般	外来語
9079	スターター	スターター	5.上級前半	名詞	名詞-普通名詞-一般	外来語
9080	スタート	スタート	3.中級前半	名詞	名詞-普通名詞-サ変可能	外来語
9081	スタートライン	スタートライン	4.中級後半	名詞	名詞-普通名詞-サ変可能 and 名詞-普通名詞-一般	外来語
9082	スタイリスト	スタイリスト	3.中級前半	名詞	名詞-普通名詞-一般	外来語
9083	スタイル	スタイル	3.中級前半	名詞	名詞-普通名詞-一般	外来語
9086	スタジオ	スタジオ	3.中級前半	名詞	名詞-普通名詞-一般	外来語
9087	すたすた	スタスタ	5.上級前半	副詞	副詞	和語
9088	巣立つ	スダツ	5.上級前半	動詞1類	動詞-一般	和語
9089	スタミナ	スタミナ	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9090	スタメン	スタメン	5.上級前半	名詞	名詞-普通名詞-一般	外来語
9091	すだれ	スダレ	6.上級後半	名詞	名詞-普通名詞-サ変可能	和語
9092	廃れる	スタレル	5.上級前半	動詞2類	動詞-一般	和語
9093	スタンス	スタンス	5.上級前半	名詞	名詞-普通名詞-一般	外来語
9095	スタンダード	スタンダード	5.上級前半	名詞	名詞-普通名詞-形状詞可能	外来語
9096	スタンド	スタンド	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9097	スタンバイ	スタンバイ	5.上級前半	名詞	名詞-普通名詞-サ変可能	外来語
9098	スタンプ	スタンプ	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9099	スチーム	スチーム	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9100	スチームアイロン	スチームアイロン	4.中級後半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	外来語
9101	スチュワーデス	スチュワーデス	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9102	頭痛	ズツウ	3.中級前半	名詞	名詞-普通名詞-一般	漢語
9103	すっかり	スッカリ	3.中級前半	副詞	副詞	和語
9104	すっきり	スッキリ	4.中級後半	動詞3類	副詞	和語
9105	酢漬け	スヅケ	6.上級後半	名詞	名詞-普通名詞-一般	和語
9106	すっと	スット	5.上級前半	副詞	副詞	和語
9107	ずっと	ズット	2.初級後半	副詞	副詞	和語
9108	酸っぱい	スッパイ	3.中級前半	イ形容詞	形容詞-一般	和語
9109	すっぱり	スッパリ	5.上級前半	副詞	副詞	和語
9110	すっぽり	スッポリ	5.上級前半	副詞	副詞	和語
9111	素手	スデ	5.上級前半	名詞	名詞-普通名詞-一般	混種語
9112	スティック	スティック	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9113	ステーキ	ステーキ	2.初級後半	名詞	名詞-普通名詞-一般	外来語
9114	ステージ	ステージ	3.中級前半	名詞	名詞-普通名詞-一般	外来語
9115	ステーション	ステーション	3.中級前半	名詞	名詞-普通名詞-一般	外来語
9116	ステータス	ステータス	5.上級前半	名詞	名詞-普通名詞-一般	外来語
9117	素敵	ステキ	3.中級前半	ナ形容詞	形状詞-一般	漢語
9118	ステッカー	ステッカー	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9119	ステッキ	ステッキ	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9120	既に	スデニ	4.中級後半	副詞	副詞	和語
9121	捨てる	ステル	2.初級後半	動詞2類	動詞-一般	和語
9122	ステレオ	ステレオ	3.中級前半	名詞	名詞-普通名詞-一般	外来語
9123	ステレオタイプ	ステレオタイプ	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9125	ステンレス	ステンレス	5.上級前半	名詞	名詞-普通名詞-一般	外来語
9127	スト	スト	5.上級前半	名詞	名詞-普通名詞-一般	外来語
9128	ストーブ	ストーブ	2.初級後半	名詞	名詞-普通名詞-一般	外来語
9129	ストーリー	ストーリー	3.中級前半	名詞	名詞-普通名詞-一般	外来語
9130	ストッキング	ストッキング	3.中級前半	名詞	名詞-普通名詞-一般	外来語
9131	ストッパー	ストッパー	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9132	ストップ	ストップ	3.中級前半	名詞	名詞-普通名詞-サ変可能	外来語
9133	ストライカー	ストライカー	6.上級後半	名詞	名詞-普通名詞-一般	外来語
9134	ストライキ	ストライキ	5.上級前半	名詞	名詞-普通名詞-一般	外来語
9135	ストライク	ストライク	5.上級前半	名詞	名詞-普通名詞-一般	外来語
9136	ストライプ	ストライプ	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9137	ストラップ	ストラップ	3.中級前半	名詞	名詞-普通名詞-一般	外来語
9138	ストリート	ストリート	3.中級前半	名詞	名詞-普通名詞-一般	外来語
9139	ストリップ	ストリップ	5.上級前半	名詞	名詞-普通名詞-一般	外来語
9140	ストレート	ストレート	3.中級前半	名詞	名詞-普通名詞-形状詞可能	外来語
9141	ストレス	ストレス	3.中級前半	名詞	名詞-普通名詞-一般	外来語
9142	ストレッチ	ストレッチ	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9143	ストロー	ストロー	3.中級前半	名詞	名詞-普通名詞-一般	外来語
9144	ストロベリー	ストロベリー	3.中級前半	名詞	名詞-普通名詞-一般	外来語
9145	ストロボ	ストロボ	6.上級後半	名詞	名詞-普通名詞-一般	外来語
9146	砂	スナ	3.中級前半	名詞	名詞-普通名詞-一般	和語
9147	砂嵐	スナアラシ	5.上級前半	名詞	名詞-普通名詞-一般	和語
9148	素直	スナオ	4.中級後半	ナ形容詞	形状詞-一般	和語
9149	スナック	スナック	5.上級前半	名詞	名詞-普通名詞-一般	外来語
9150	スナップ	スナップ	5.上級前半	名詞	名詞-普通名詞-一般	外来語
9151	砂場	スナバ	4.中級後半	名詞	名詞-普通名詞-一般	和語
9152	砂浜	スナハマ	3.中級前半	名詞	名詞-普通名詞-一般	和語
9154	すなわち	スナワチ	4.中級後半	接続詞	接続詞	和語
9155	スニーカー	スニーカー	3.中級前半	名詞	名詞-普通名詞-一般	外来語
9157	すね	スネ	5.上級前半	名詞	名詞-普通名詞-一般	和語
9158	頭脳	ズノウ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
9159	スノー	スノー	3.中級前半	名詞	名詞-普通名詞-一般	外来語
9161	スノーボード	スノーボード	3.中級前半	名詞	名詞-普通名詞-一般	外来語
9162	酢の物	スノモノ	5.上級前半	名詞	名詞-普通名詞-一般	和語
9163	スパーク	スパーク	5.上級前半	名詞	名詞-普通名詞-サ変可能	外来語
9164	スパイ	スパイ	4.中級後半	名詞	名詞-普通名詞-サ変可能	外来語
9165	スパイク	スパイク	5.上級前半	名詞	名詞-普通名詞-サ変可能	外来語
9166	スパイス	スパイス	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9167	スパゲッティ	スパゲッティ	2.初級後半	名詞	名詞-普通名詞-一般	外来語
9168	巣箱	スバコ	6.上級後半	名詞	名詞-普通名詞-一般	和語
9169	ずばずば	ズバズバ	5.上級前半	副詞	副詞	和語
9170	素肌	スハダ	5.上級前半	名詞	名詞-普通名詞-一般	混種語
9171	ずば抜ける	ズバヌケル	5.上級前半	動詞2類	動詞-一般	和語
9172	素早い	スバヤイ	5.上級前半	イ形容詞	形容詞-一般	混種語
9173	素晴らしい	スバラシイ	2.初級後半	イ形容詞	形容詞-一般	混種語
9174	ずばり	ズバリ	5.上級前半	副詞	副詞	和語
20058	スピーカー	スピーカ	5.上級前半	名詞	名詞-普通名詞-一般	外来語
9175	スピーカー	スピーカー	3.中級前半	名詞	名詞-普通名詞-一般	外来語
9176	スピーチ	スピーチ	3.中級前半	名詞	名詞-普通名詞-サ変可能	外来語
9177	スピーディー	スピーディー	4.中級後半	ナ形容詞	形状詞-一般	外来語
9178	スピード	スピード	3.中級前半	名詞	名詞-普通名詞-一般	外来語
9179	スピードアップ	スピードアップ	3.中級前半	名詞	名詞-普通名詞-サ変可能	外来語
9180	スピッツ	スピッツ	6.上級後半	名詞	名詞-普通名詞-一般	外来語
9181	図表	ズヒョウ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
9182	スピリット	スピリット	5.上級前半	名詞	名詞-普通名詞-一般	外来語
9183	スピン	スピン	5.上級前半	名詞	名詞-普通名詞-サ変可能	外来語
9184	スフィンクス	スフィンクス	5.上級前半	名詞	名詞-普通名詞-一般	外来語
9185	スプーン	スプーン	2.初級後半	名詞	名詞-普通名詞-一般	外来語
9186	酢豚	スブタ	4.中級後半	名詞	名詞-普通名詞-一般	和語
9187	素振り	スブリ	6.上級後半	名詞	名詞-普通名詞-サ変可能	混種語
9188	スプリング	スプリング	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9189	スプレー	スプレー	3.中級前半	名詞	名詞-普通名詞-サ変可能	外来語
9190	すべ	スベ	5.上級前半	名詞	名詞-普通名詞-一般	和語
9191	スペア	スペア	5.上級前半	名詞	名詞-普通名詞-一般	外来語
9193	スペース	スペース	3.中級前半	名詞	名詞-普通名詞-一般	外来語
9194	スペースシャトル	スペースシャトル	4.中級後半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	外来語
9195	スペシャリスト	スペシャリスト	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9196	スペシャル	スペシャル	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9197	全て	スベテ	3.中級前半	名詞	名詞-普通名詞-副詞可能	和語
9198	滑らす	スベラス	5.上級前半	動詞1類	動詞-一般	和語
9199	滑り	スベリ	4.中級後半	名詞	名詞-普通名詞-一般	和語
9200	滑り込む	スベリコム	5.上級前半	動詞1類	動詞-一般	和語
9201	滑る	スベル	4.中級後半	動詞1類	動詞-一般	和語
9202	スペル	スペル	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9203	スポーツ	スポーツ	1.初級前半	名詞	名詞-普通名詞-サ変可能	外来語
9205	スポーツカー	スポーツカー	3.中級前半	名詞	名詞-普通名詞-サ変可能 and 名詞-普通名詞-一般	外来語
9207	スポーツマン	スポーツマン	3.中級前半	名詞	名詞-普通名詞-一般	外来語
9208	スポーティー	スポーティー	4.中級後半	ナ形容詞	形状詞-一般	外来語
9209	スポット	スポット	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9210	ずぼら	ズボラ	6.上級後半	名詞	名詞-普通名詞-形状詞可能	和語
9211	ズボン	ズボン	2.初級後半	名詞	名詞-普通名詞-一般	外来語
9212	スポンサー	スポンサー	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9213	スポンジ	スポンジ	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9214	スポンジケーキ	スポンジケーキ	4.中級後半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	外来語
9215	スマート	スマート	4.中級後半	ナ形容詞	形状詞-一般	外来語
9216	住まい	スマイ	4.中級後半	名詞	名詞-普通名詞-一般	和語
9217	スマイル	スマイル	3.中級前半	名詞	名詞-普通名詞-一般	外来語
9218	済ます	スマス	4.中級後半	動詞1類	動詞-一般	和語
9219	澄ます	スマス	5.上級前半	動詞1類	動詞-一般	和語
